lbl,dflt,au,ca,sg,uk
"tax rate instructions","Define your rate(s) below. Each Tax Rate Definition supports up to four (4) different rates/types. Rate Types are set under branch settings. Specify which rate type each task uses under the task definition.","","","",""
"tax type","Tax Type","","","",""
"find vendors","Find Vendors","","","",""
"defined vendors","Defined Vendors","","","",""
"print checks","Print Checks","","","",""
"write check","Write Check","","","",""
"checks","Checks","","","",""
"returned nsf","Returned \n(NSF)","","","",""
"applied invoice amount","Applied \nInvoice:Amount","","","",""
"adj reason","Adj Reason","","","",""
"surplus dep dt","Surplus Dep.\n Dt","","","",""
"posted by","Posted By","","","",""
"from surplus","From Surplus","","","",""
"flagged","Flagged","","","",""
"cert/non-cert","Cert./Non-Cert","","","",""
"quote id","Quote ID","","","",""
"","","","","",""
"first wo","First WO","","","",""
"last wo","Last WO","","","",""
"wo count","WO Count","","","",""
"req no","Req. No","","","",""
"custom flds","Custom Flds","","","",""
"job est total","Job(s) Est. Total","","","",""
"converted only","Converted Only","","","",""
"non converted only","Non-Converted Only","","","",""
"has activity between","Has Activity Between","","","",""
"no activity between","No Activity Between","","","",""
"esigned only","eSigned Only","","","",""
"link sent but not signed","Link Sent But Not Signed","","","",""
"link not sent (and not signed)","Link Not Sent (and Not Signed)","","","",""
"not esigned","Not eSigned","","","",""
"activity log","Activity Log","","","",""
"quote expires","Quote Expires","","","",""
"converted","Converted","","","",""
"esigned","eSigned","","","",""
"sales rep scheduled","Sales Rep.\nScheduled","","","",""
"sr sched time","S.R. Sched\nTime","","","",""
"esig link sent","eSig Link \nSent","","","",""
"esigned","eSigned","","","",""
"total linked quotes individually","Total Linked Quotes Individually","","","",""
"force min job price in totals","Force Min. Job price In Totals","","","",""
"cust only","Cust Only","","","",""
"leads only","Leads Only","","","",""
"active quotes","Active Quotes","","","",""
"new within","New Within","","","",""
"with at least","With At Least","","","",""
"rating","Rating","","","",""
"frozen status","Frozen Status","","","",""
"stars","Stars","","","",""
"frozen only","Frozen Only","","","",""
"unfrozen only","Unfrozen Only","","","",""
"address type","Address Type","","","",""
"find by inv no","Find By Inv. No","","","",""
"unrated","Unrated","","","",""
"other 1 off","Other / 1-Off","","","",""
"manage rate of pay groups","Manage Rate Of Pay Groups","","","",""
"users and jobs","Users & Jobs","","","",""
"straight time","Straight Time","","","",""
"over time","Over Time","","","",""
"double time","Double Time","","","",""
"manage rate of pay group","Manage Rate Of Pay Group","","","",""
"labor rate","Labor Rate","","","",""
"labor benefit","Labor Benefit","","","",""
"other rate","Other Rate","","","",""
"other benefit","Other Benefit","","","",""
"jc benefits","JC Benefits","","","",""
"define rate of pay","Define Rate Of Pay","","","",""
"jc costs","J.C. Costs","","","",""
"other time","Other Time","","","",""
"medical","Medical","","","",""
"dental","Dental","","","",""
"401k","401K","","","",""
"apprentice","Apprentice","","","",""
"job costing info","Extra Costs For Job Costing. \n(i.e. employer's portion of union dues, etc.)","","","",""
"copy to","Copy to","","","",""
"must enter job costing benefit name","You must name/describe the job costing benifits.","","","",""
"must specify a type","You must specify a type","","","",""
"rate of pay","Rate Of Pay","","","",""
"pay type","Pay Type","","","",""
"pay details","Pay Details","","","",""
"hourly via clock in out","Hourly (via Clock In/Out)","","","",""
"hourly via field tickets and clock","Hourly (via Field Tickets & Clock In/Out)","","","",""
"salary","Salary","","","",""
"hourly rate","Hourly Rate","","","",""
"hourly benefit","Hourly Benefit","","","",""
"salary per pay month","Salary per Pay Month","","","",""
"ft rate of pay group","FT Rate of Pay Group","","","",""
"addl rate","Add'l Rate","","","",""
"tot rate of pay","Tot. Rate of Pay","","","",""
"select or define rate of pay group","Select or Define Rate of Pay Group","","","",""
"view modify rate of pay group","View/Modify Rate of Pay Group","","","",""
"clear rate of pay group","Clear Rate of Pay Group","","","",""
"direct pay deductions","Direct Pay Deductions","","","",""
"itemize direct pay deductions","Itemize Direct Pay Deductions","","","",""
"pension","Pension","","","",""
"holiday","Holiday","","","",""
"health","Health","","","",""
"life","Life","","","",""
"certified jobs only","Certified Jobs Only","","","",""
"via field tickets","Via Field Tickets","","","",""
"via clock in out","Via Clock In/out (i.e Meetings, Shop Time, etc.)","","","",""
"undefined","Undefined","","","",""
"help docs info label","Click here for more information on how to use this","","","",""
"vendor inv id","Bill Id","","","",""
"delete bill","Delete Bill","","","",""
"department","Department","","","",""
"user id","User ID","","","",""
"gender","Gender","","","",""
"work class","Work Class","","","",""
"ethnicity","Ethnicity","","","",""
"set availability","Set Availability","","","",""
"basic info","Basic Info","","","",""
"extended","Extended","","","",""
"sched tm","Sched. Tm","","","",""
"select vendor","Select Vendor","","","",""
"view modify vendor","View/Modify Vendor","","","",""
"view bill","View Bill","","","",""
"pmt ref no","Pmt. Ref No","","","",""
"expense id","Bill Pay ID","","","",""
"bill ref no","Bill Ref No","","","",""
"approved","Approved","","","",""
"applied bill amount","Applied Bill:Amount","","","",""
"find expense","Bill Pay History","","","",""
"week","Week","","","",""
"past due","Past Due","","","",""
"due within","Due Within","","","",""
"need to print","Need to print","","","",""
"weeks","Weeks","","","",""
"bill count","Bill Count","","","",""
"bill bal","Bill Bal.","","","",""
"bill is already paid in full","Bill is already paid in full","","","",""
"xls friendly","(.xls friendly)","","","",""
"xls raw","(.xls raw)","","","",""
"popup blocker detected","Uh-oh! Looks like opening PDFs / reports in a new tab is blocked (pop-ups). Please go to your browser Settings and turn off 'Block Pop-ups'","","","",""
"original value","Original Value","","","",""
"new value","New Value","","","",""
"mobile device","Mobile Device","","","",""
"ft no","FT No.","","","",""
"straight time 2","Str Tm","","","",""
"over time 2","OT","","","",""
"double time 2","Dbl Tm","","","",""
"certified 2","Cert.","","","",""
"approve all time 2","Approve\n All Time","","","",""
"select checks to print","Select Checks To Print","","","",""
"verify print settings","Verify Print Settings","","","",""
"verify settings","Verify Settings","","","",""
"must select at least one check to print","You must select at least 1 check to print.","","","",""
"check style","Check Style","","","",""
"voucher","Voucher","","","",""
"first check number","First Check #","","","",""
"adjust alignment","Adjust Alignment","","","",""
"horizontal","Horizontal","","","",""
"vertical","Vertical","","","",""
"print test page","Print Test Page","","","",""
"checks print okay","Did your checks print okay? If not, click 'No' and you can then reprint them.","","","",""
"printed ok","Printed OK","","","",""
"ending check number","Ending Check Number","","","",""
"check align info","This will adjust all fields","","","",""
"cannot delete bill with payments","BILL: <VENDINVID> has had payments applied. You cannot delete a bill once payments have been made.","","","",""
"confirm del bill","Are you sure you want to delete bill: <INVOICEID>?\n\nThis cannot be undone. Only proceed if you want to permanently delete this bill.","","","",""
"must enter reason for del bill","You must enter a reason for deleting this bill","","","",""
"download save","Save / Download","","","",""
"user docs","User Docs","","","",""
"open in new tab","Open in new tab","","","",""
"add docs","Add Docs","","","",""
"who am i through","Who Am I\n Through","","","",""
"domain address","Domain Address","","","",""
"hosted by","Hosted By","","","",""
"mx record","MX Record","","","",""
"email provider does not match","Email provider does not match what you entered. Please select <HOST> as your email provider and try again.","","","",""
"talking to the server please wait","Talking to the server, please wait...","","","",""
"branch email server","<LBLBRANCH> Email Server","","","",""
"ft qty ready","FT Qty\n Ready","","","",""
"ft qty to inv","FT Qty\n To Inv.","","","",""
"choose media source","Add From","","","",""
"camera","Camera","","","",""
"gallery","Gallery","","","",""
"to techs","To Techs","","","",""
"link will expire at","This link will expire at: <TIME>","","","",""
"to site contacts","To Site Contacts","","","",""
"text link is not link for customers","This link is designed to be internal facing only and should not go to your customers. If this is a customer facing report (i.e. quote, field ticket, invoice, etc.) it will NOT include customer options like: signatures, payments, etc.","","","",""
"text link expires how to get longer","If you wish to extend the link expiration (from <BASETIME> hours up to <MAXTIME> days), please contact <APPNAME>.","","","",""
"cannot text base64 string","The document you are viewing is a base64 string (techy talk) and not a link and cannot be texted.","","","",""
"weekly scheduler","Weekly Scheduler","","","",""
"confirm self pic change","Are you sure you want to <ACTION> <NAME>'s picture? \n NOTE: This cannot be undone.","","","",""
