lbl,dflt,la
"sec 41435","Añadir/editar vehículos y equipos","Agregar/editar vehículos y equipos"
"sec 20532","Denegar el acceso al trabajo",""
"sec 16405","Denegar el acceso al buscador avanzado",""
"sec 33903","Denegar el acceso a las boletas de campo",""
"sec 37966","Editar OC de inventario",""
"sec 42029","Añadir/editar proveedores","Agregar/editar proveedores"
"sec 46092","(YA NO SE UTILIZA)",""
"sec 50411","Borrar documentos",""
"sec 54474","Negar a ver los correos electrónicos de los demás",""
"sec 58537","Establecer/modificar condiciones",""
"sec 62600","Solo puede ver cotizaciones, trabajos, fc del rep de ventas",""
"sec 1383","Puede ver el total del trabajo en Buscar trabajo",""
"sec 5446","",""
"sec 46942","",""
"sec 42879","",""
"sec 38684","",""
"sec 34621","",""
"sec 63450","",""
"sec 59387","",""
"sec 55192","",""
"sec 51129","",""
"sec 13910","",""
"sec 9847","",""
"sec 42848","",""
"sec 46913","",""
"sec 34594","",""
"sec 38659","",""
"sec 59364","",""
"sec 63429","",""
"sec 51110","",""
"sec 55175","",""
"sec 9832","",""
"sec 13897","",""
"sec 37969","",""
"sec 33904","",""
"sec 46099","",""
"sec 42034","",""
"sec 54485","",""
"sec 50420","",""
"sec 62615","",""
"sec 58550","",""
"sec 5465","",""
"sec 1400","",""
"sec 3535","",""
"sec 7662","",""
"sec 11661","",""
"sec 15788","",""
"sec 19787","",""
"sec 23914","",""
"sec 27913","",""
"sec 32040","",""
"sec 36039","",""
"sec 40166","",""
"sec 16126","",""
"sec 11999","",""
"sec 7868","",""
"sec 3741","",""
"sec 32378","",""
"sec 28251","",""
"sec 24120","Administrador de sucursal (AS)",""
"sec 19993","",""
"sec 49142","",""
"sec 45015","",""
"sec 27565","",""
"sec 31628","",""
"sec 19439","",""
"sec 23502","",""
"sec 11049","",""
"sec 15112","",""
"sec 2923","",""
"sec 6986","",""
"sec 60069","",""
"sec 64132","",""
"sec 22684","",""
"sec 18621","",""
"sec 30942","",""
"sec 26879","",""
"sec 6168","",""
"sec 2105","",""
"sec 14426","",""
"sec 10363","",""
"sec 55700","",""
"sec 51637","",""
"sec 49419","",""
"sec 53546","",""
"sec 57673","",""
"sec 61800","",""
"sec 33167","",""
"sec 37294","",""
"sec 41421","",""
"sec 45548","",""
"sec 16387","",""
"sec 20514","",""
"sec 62010","",""
"sec 57883","",""
"sec 53880","",""
"sec 49753","",""
"sec 45758","",""
"sec 41631","",""
"sec 37628","",""
"sec 33501","",""
"sec 29490","",""
"sec 25363","",""
"sec 42857","",""
"sec 46920","",""
"sec 34603","",""
"sec 38666","",""
"sec 59373","",""
"sec 63436","",""
"sec 51119","",""
"sec 55182","",""
"sec 9825","",""
"sec 13888","",""
"sec 37976","",""
"sec 33913","",""
"sec 46106","",""
"sec 42043","",""
"sec 54492","",""
"sec 50429","",""
"sec 62622","",""
"sec 58559","",""
"sec 5456","",""
"sec 1393","",""
"sec 33894","",""
"sec 37959","",""
"sec 42020","",""
"sec 46085","",""
"sec 50402","",""
"sec 54467","",""
"sec 58528","",""
"sec 62593","",""
"sec 1390","",""
"sec 5455","",""
"sec 46935","",""
"sec 42870","",""
"sec 38677","",""
"sec 34612","",""
"sec 63443","",""
"sec 59378","",""
"sec 55185","",""
"sec 51120","",""
"sec 13919","",""
"sec 9854","",""
"sec 21663","",""
"vendors","Vendedores",""
"user availability","Disponibilidad para el usuario",""
"add user log entry","Añadir entrada de registro de usuario","Agregar entrada de registro de usuario"
"secondary","Secundaria",""
"users schedule","Horario del usuario",""
"general notes","Notas generales",""
"surplus account balances","Saldos de las cuentas de superávit",""
"sandbox","Sandbox",""
"sandbox not created yet","Su base de datos aún no dispone de un Sandbox. Por favor, cree uno para proceder.","Su base de datos aún no dispone de un Sandbox. Cree uno para continuar."
"create sandbox","Crear Sandbox",""
"use sandbox","Simular en Sandbox",""
"sandbox desc","El sandbox es una copia de sus datos de <APPNAME> y un lugar donde puede jugar con los ajustes, escenarios, etc. sin que ello afecte a sus datos reales de <APPNAME>.\n\nEl sandbox puede "refrescarse" (borrarse y actualizarse con sus datos más actuales) en cualquier momento.\n\nNOTA: El sandbox es compartido por todos en la empresa","El sandbox es una copia de sus datos de <APPNAME> y un lugar donde puede jugar con los ajustes, escenarios, etc. sin que ello afecte a sus datos reales de <APPNAME>.\n\nEl sandbox puede "recargarse" (borrarse y actualizarse con sus datos más actuales) en cualquier momento.\n\nNOTA: El sandbox es compartido por todos en la empresa"
"refresh sandbox desc","Esto refrescará / recreará el Sandbox (El Sandbox se limpiará y actualizará con sus datos más actuales).","Esto recargará/recreará el Sandbox (el Sandbox se limpiará y actualizará con sus datos más actuales)."
"delete sandbox desc","Esto borrará el Sandbox y se perderán todos los datos que contenga.",""
"switch to sandbox","Esto lo cambiará al Sandbox y a todos los trabajos, presupuestos, facturas, etc. que cree podrán ser eliminados en cualquier momento.",""
"using sandbox disclaimer","Entorno Sandbox. Los datos pueden borrarse en cualquier momento.",""
"exit sandbox","Salir del Sandbox",""
"exit sandbox disclaimer","¡Gracias por simular en Sandbox!\n\nEsperamos que haya sido provechoso y que ahora esté listo para enfrentarse a lo que sea que le espere. Vuelva pronto :)",""
"cust is inactive","Cliente: ¡<CUST> está inactiva!\n\nPuede crear un Presupuesto o un Trabajo para este cliente, pero no puede crear una Orden de Trabajo (no puede enviar a nadie a realizar un trabajo) mientras la cuenta esté inactiva.",""
"rate of pay groups","Grupos de tasa de pago",""
"defined groups","Grupos definidos",""
"bills","Facturas",""
"bill","Factura",""
"find bills","Buscar facturas",""
"contracts only","Solo contratos",""
"enter bills","Introducir facturas","Ingresar facturas"
"service only","Solo servicio",""
"enter bill","Introducir factura",""
"ocip/ccip only","Solo OCIP/CCIP",""
"bill date","Fecha de la factura",""
"non ocip/ccip only","Solo no OCIP/CCIP",""
"bill due","Factura vencida",""
"flagged jobs only","Solo trabajos marcados",""
"must enter bill ref no","Debe introducir un número de referencia de factura.","Debe ingresar un número de referencia de factura."
"non flagged jobs only","Solo empleos no marcados",""
"must enter bill amount","Debe introducir el importe de la factura.","Debe ingresar el importe de la factura."
"cert only","Solo cert.",""
"must specify bill date","Debe introducir la fecha de facturación.","Debe ingresar la fecha de facturación."
"non cert only","Solo no cert",""
"must select a vendor","Debe seleccionar un proveedor.",""
"itemized amounts must equal the total","Los importes desglosados deben ser iguales al importe total (es decir, todas las líneas deben estar desglosadas si decide desglosar)",""
"mark as paid","Marcar como pagado",""
"paid from","Pagado desde",""
"pay from","Pagar desde",""
"bill amt","Monto de factura",""
"outstanding bills","Facturas pendientes",""
"sales contact","Contacto comercial",""
"surplus history","Historial de los excedentes",""
"work schedule","Horario de trabajo",""
"surplus disrepancy report","Informe de discrepancia de excedentes",""
"start","Inicie",""
"surplus","Excedente",""
"confirm del time block","¿Está seguro de que desea eliminar el bloque temporal resaltado?",""
"print surplus balance report","Imprimir informe de saldo excedente",""
"create user schedule","Crear horario de usuario",""
"find surplus","Buscar excedentes",""
"how do you want to write the schedule","¿Cómo quiere redactar el horario?",""
"deposits only","Solo depósitos",""
"must enter start date","Debe introducir la fecha de inicio","Debe ingresar la fecha de inicio"
"withdrawals only","Solo retiros",""
"must enter end date","Debe introducir la fecha final","Debe ingresar la fecha final"
"refunds only","Solo reembolsos",""
"start date must be after","La fecha de inicio debe ser posterior a",""
"view surplus","Ver excedentes",""
"end date must be before","La fecha de finalización debe ser anterior a",""
"surplus discrepancy report","Informe de discrepancia de excedentes",""
"must enter start time","Debe introducir la hora de inicio","Debe ingresar la hora de inicio"
"sur discrep info","Esto mostrará una lista de las transacciones excedentes fechadas en el intervalo de fechas, pero creadas antes o después del intervalo de fechas (es decir, con fecha anterior, etc.).",""
"must enter end time","Debe introducir la hora de finalización","Debe ingresar la hora de finalización"
"start time must be before end time","La hora de inicio debe ser anterior a la hora de finalización",""
"must select a status","Debe seleccionar un estado",""
"overwrite","Sobrescribir",""
"append","Añada",""
"start date","Fecha de inicio",""
"end date","Fecha final",""
"are you still there","¿Continúa ahí?\nSe le dará de baja en <TIME> si no responde.\n\n <span style="color:red">** Cualquier cambio no guardado se perderá **</span>\n\n<img style="margin-top:10px; max-height:200px;" src="../img/stillThere.png" />",""
"im still here","Sigo aquí",""
"tax rate names","Nombres de los tipos impositivos",""
"auto sign out","Cierre automático de sesión",""
"sign out after","Cerrar sesión después",""
"set at corp office only","Establecido solo en oficina Corp.",""
"does not apply to mobile app","No se aplica a la aplicación móvil",""
"tax rate instructions","Defina su(s) tasa(s) a continuación. Cada definición de tasa impositiva admite hasta cuatro (4) tasas/tipos diferentes. Los tipos de tasa se establecen bajo la configuración de la sucursal. Especifique qué tipo de tasa utiliza cada tarea bajo la definición de la tarea.",""
"tax type","Tipo de impuesto",""
"find vendors","Buscar proveedores",""
"defined vendors","Vendedores definidos",""
"print checks","Imprimir cheques",""
"write check","Escribir cheque",""
"checks","Cheques",""
"returned nsf","Devuelto\n(NSF)",""
"applied invoice amount","Factura\naplicada:Importe",""
"adj reason","Razón de aj",""
"surplus dep dt","Dt Dep. excedente",""
"posted by","Publicado por",""
"from surplus","De excedentes",""
"flagged","Marcado",""
"cert/non-cert","Certificado/No certificado",""
"quote id","ID de presupuesto",""
"","",""
"first wo","Primera OT",""
"last wo","Última OT",""
"wo count","Recuento de OT",""
"req no","Req. No",""
"custom flds","Camp personalizados",""
"job est total","Total est. trabajo(s)",""
"converted only","Solo convertidos",""
"non converted only","Solo no convertidos",""
"has activity between","Tiene actividad entre",""
"no activity between","Sin actividad entre",""
"esigned only","Solo eSigned",""
"link sent but not signed","Enlace enviado pero no firmado",""
"link not sent (and not signed)","Enlace no enviado (y no firmado)",""
"not esigned","No eSigned",""
"activity log","Registro de actividades",""
"quote expires","Presupuesto Expira",""
"converted","Convertido",""
"esigned","eSigned",""
"sales rep scheduled","Rep. de ventas\nProgramado",""
"sr sched time","S.R. Hora prog.",""
"esig link sent","Enlace eSig\nEnviado",""
"esigned","eSigned",""
"total linked quotes individually","Total cotizaciones vinculadas individualmente",""
"force min job price in totals","Forzar precio min. del empleo en Totales",""
"cust only","Solo para clien.",""
"leads only","Solo potenciales",""
"active quotes","Citas activas",""
"new within","Nuevo entre",""
"with at least","Con al menos",""
"rating","Clasificación",""
"frozen status","Estado de congelamiento",""
